name,x,y
528,127.0724032,37.5521488
529,127.0877013,37.5500833
530,127.0970888,37.5540727
531,127.0965576,37.5422736
532,127.0803559,37.5713322
533,127.0800646,37.5661418
534,127.0829274,37.5427864
535,127.0787203,37.5368873
536,127.0856447,37.5575672
537,127.0790559,37.5670375
538,127.0914128,37.5486691
539,127.0902993,37.5476769
540,127.0894286,37.5471734
541,127.0868049,37.540988
542,127.0805521,37.5663475
543,127.1051257,37.548145
544,127.0781482,37.5364635
545,127.0841994,37.5329149
546,127.0721775,37.5450479
547,127.0732794,37.5559747
548,127.0697483,37.5499072
549,127.0829945,37.5573624
550,127.0820487,37.5663682
551,127.083587,37.5433276
552,127.0970606,37.5410407
553,127.1032315,37.5477013
554,127.0796624,37.5369826
555,127.0829986,37.5299536
556,127.0729905,37.5357534
557,127.0660996,37.5378609
558,127.0616545,37.5366664
559,127.0734838,37.556287
560,127.0985023,37.5428822
561,127.0718384,37.5443805
562,127.0819553,37.5654418
563,127.0827603,37.5435655
564,127.0922581,37.5422613
565,127.0916098,37.5358528
566,127.1056241,37.5487467
567,127.1017974,37.5477251
568,127.0887763,37.5329219
569,127.0674402,37.5364558
570,127.0718331,37.5534289
571,127.0872184,37.5676764
572,127.0953131,37.540199
573,127.0986285,37.5435842
574,127.0765809,37.5334268
575,127.0769524,37.538538
576,127.0789827,37.5385462
577,127.0699926,37.5341213
578,127.0697689,37.5439574
579,127.0724455,37.5543466
580,127.0901605,37.5362944
581,127.0683604,37.5338508
582,127.0687103,37.5495677
583,127.0888974,37.5412632
584,127.0645161,37.5369474
585,127.0829186,37.5288396
586,127.0822343,37.5541209
587,127.0763065,37.5315098
588,127.0896505,37.5310737
589,127.104145,37.54583
590,127.1036595,37.5469693
591,127.0859,37.5442537
592,127.0872734,37.5408318
593,127.0857568,37.5411244
594,127.0870749,37.5416727
595,127.084423,37.5409112
596,127.0840459,37.5403265
597,127.0862737,37.5383712
598,127.0911743,37.5463273
599,127.0953315,37.550406
600,127.0913848,37.5391193
601,127.0920258,37.5380029
602,127.0736991,37.553938
603,127.0731682,37.5566134
604,127.0806946,37.553086
605,127.0805577,37.5537778
606,127.0821474,37.5551214
607,127.0795712,37.5352057
608,127.0765514,37.5344461
609,127.081643,37.5322019
610,127.0777025,37.5357836
611,127.0844923,37.5364548
612,127.0872516,37.5321908
613,127.0896321,37.5317921
614,127.0755717,37.5356838
615,127.0751528,37.5374091
616,127.0727426,37.5331908
617,127.0707643,37.5355643
618,127.0715346,37.5351613
619,127.0745009,37.5323123
620,127.0650842,37.5402967
621,127.0605518,37.5348653
622,127.0696109,37.5395286
623,127.0664475,37.5342623
624,127.065307,37.5351914
625,127.0646594,37.5352474
626,127.0682005,37.5390018
627,127.0668223,37.5339103
628,127.0655468,37.537494
629,127.0777124,37.5635201
630,127.0783875,37.561892
631,127.0786032,37.5596878
632,127.0876325,37.557828
633,127.0846814,37.5558858
634,127.0833165,37.5579791
635,127.0861145,37.5616059
636,127.0856026,37.5661826
637,127.084102,37.5681782
638,127.08383,37.5680679
639,127.0838021,37.5687034
640,127.0798086,37.5663794
641,127.08521,37.5694349
642,127.084405,37.5639275
643,127.0858209,37.5707704
644,127.0932317,37.5575078
645,127.0933049,37.5561179
646,127.0897086,37.5535612
647,127.0881561,37.569443
648,127.0896439,37.5556044
649,127.0711529,37.5441933
650,127.0665049,37.5434796
651,127.0748002,37.5451349
652,127.0718111,37.5456308
653,127.0824312,37.5383578
654,127.0824312,37.5383578
655,127.0824312,37.5383578
656,127.0824312,37.5383578
657,127.0824312,37.5383578
658,127.0824312,37.5383578
659,127.0824312,37.5383578
660,127.0824312,37.5383578
661,127.0824312,37.5383578
662,127.0824312,37.5383578
663,127.0824312,37.5383578
664,127.0824312,37.5383578
665,127.0824312,37.5383578
666,127.0824312,37.5383578
667,127.0824312,37.5383578
668,127.0824312,37.5383578
669,127.0824312,37.5383578
670,127.0824312,37.5383578
671,127.0824312,37.5383578
672,127.0824312,37.5383578
673,127.0824312,37.5383578
674,127.0824312,37.5383578
675,127.089436,37.5590958
676,127.089436,37.5590958
677,127.066268,37.5341165
678,127.066268,37.5341165
679,127.066268,37.5341165
680,127.066268,37.5341165
681,127.0920258,37.5380029
682,127.0920258,37.5380029
683,127.0920258,37.5380029
684,127.0920258,37.5380029
685,127.0920258,37.5380029
686,127.0920258,37.5380029
687,127.0920258,37.5380029
688,127.0920258,37.5380029
689,127.0920258,37.5380029
690,127.0920258,37.5380029
691,127.0920258,37.5380029
692,127.0920258,37.5380029
693,127.0920258,37.5380029
694,127.0920258,37.5380029
695,127.0920258,37.5380029
696,127.0920258,37.5380029
697,127.0871598,37.5594186
698,127.0871598,37.5594186
699,127.0871598,37.5594186
700,127.0871598,37.5594186
701,127.0871598,37.5594186
702,127.0871598,37.5594186
703,127.0871598,37.5594186
704,127.0871598,37.5594186
705,127.0871598,37.5594186
706,127.0871598,37.5594186
707,127.0871598,37.5594186
708,127.0800429,37.5606007
709,127.0800429,37.5606007
710,127.0814976,37.5602559
711,127.0814976,37.5602559
712,127.0801637,37.5688152
713,127.089436,37.5590958
714,127.089436,37.5590958
715,127.089436,37.5590958
716,127.089436,37.5590958
717,127.089436,37.5590958
718,127.0805577,37.5537778
719,127.0805577,37.5537778
720,127.0857243,37.5424897
721,127.0857243,37.5424897
722,127.0857243,37.5424897
723,127.0899273,37.547255
724,127.0899273,37.547255
725,127.1031274,37.5468873
726,127.1031274,37.5468873
727,127.082414,37.5345239
728,127.082414,37.5345239
729,127.0845366,37.5288629
730,127.0845366,37.5288629
731,127.0845366,37.5288629
732,127.0727788,37.5338939
733,127.0727788,37.5338939
734,127.066268,37.5341165
735,127.071367,37.5465535
736,127.071367,37.5465535
737,127.0759313,37.5551486
738,127.1030908,37.5552342
739,127.0989787,37.5549035
740,127.0989787,37.5549035
741,127.0989728,37.5669528
742,127.0989728,37.5669528
743,127.0894936,37.5682186
744,127.0894936,37.5682186
745,127.1078456,37.5452645
746,127.1078456,37.5452645
747,127.1078456,37.5452645
748,127.1078456,37.5452645
749,127.1078456,37.5452645
750,127.1078456,37.5452645
751,127.1078456,37.5452645
752,127.092008,37.5312885
753,127.092008,37.5312885
754,127.092008,37.5312885
755,127.092008,37.5312885
756,127.092008,37.5312885
757,127.092008,37.5312885
758,127.0775805,37.5293409
759,127.0775805,37.5293409
760,127.0775805,37.5293409
761,127.0775805,37.5293409
762,127.0775805,37.5293409
763,127.0775805,37.5293409
764,127.0775805,37.5293409
765,127.0775805,37.5293409
766,127.0775805,37.5293409
767,127.0775805,37.5293409
768,127.0775805,37.5293409
769,127.0606556,37.5337197
770,127.0606556,37.5337197
771,127.0606556,37.5337197
772,127.0606556,37.5337197
773,127.0606556,37.5337197
774,127.076072,37.5640914
775,127.076072,37.5640914
776,127.076072,37.5640914
777,127.076072,37.5640914
778,127.076072,37.5640914
779,127.076072,37.5640914
780,127.076072,37.5640914
781,127.076072,37.5640914
782,127.076072,37.5640914
783,127.076072,37.5640914
784,127.0824312,37.5383578
785,127.0809212,37.5498987
786,127.093421,37.5353487
787,127.0921806,37.5333516
788,127.0941841,37.5345385
789,127.0946887,37.5350479
790,127.097985,37.537314
791,127.0946887,37.5350479
792,127.09476,37.5365046
793,127.0809212,37.5498987
794,127.0772666,37.5521243
795,127.0785155,37.5561966
796,127.073884,37.5514706
797,127.0804122,37.5584148
798,127.0746272,37.5615513
799,127.0628236,37.5366382
800,127.0882553,37.5574819
801,127.0782734,37.5635003
802,127.1070112,37.5475955
803,127.1024758,37.5436614
804,127.0884747,37.5451556
805,127.0897472,37.5526184
806,127.0753252,37.5584444
807,127.0857014,37.5544028
808,127.0809212,37.5498987
809,127.0791277,37.5320381
810,127.0716048,37.5511292
811,127.0827882,37.5637202
812,127.0913914,37.5339326
813,127.0675816,37.541201
814,127.0714383,37.5406442
815,127.0713231,37.5422008
816,127.0708013,37.5408644
817,127.0674077,37.540781
818,127.0863932,37.545803
819,127.0910853,37.5358509
